0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 

-99 -99 -97 -90 -89 -89 -88 -84 -81 -80 -76 -76 -71 -71 -69 -68 -66 -66 -65 -65 -64 -61 -60 -59 -58 -58 -52 -48 -48 -47 -46 -46 -45 -44 -44 -43 -42 -41 -40 -38 -35 -32 -31 -31 -28 -25 -22 -22 -17 -17 -16 -9 -6 -3 0 0 1 1 8 17 19 20 25 33 35 40 41 43 44 45 50 52 52 52 53 55 56 58 59 60 62 62 70 71 74 74 75 76 78 78 79 80 85 88 93 94 94 94 98 100 
-99 -99 -97 -90 -89 -89 -88 -84 -81 -80 -76 -76 -71 -71 -69 -68 -66 -66 -65 -65 -64 -61 -60 -59 -58 -58 -52 -48 -48 -47 -46 -46 -45 -44 -44 -43 -42 -41 -40 -38 -35 -32 -31 -31 -28 -25 -22 -22 -17 -17 -16 -9 -6 -3 0 0 1 1 8 17 19 20 25 33 35 40 41 43 44 45 50 52 52 52 53 55 56 58 59 60 62 62 70 71 74 74 75 76 78 78 79 80 85 88 93 94 94 94 98 100 
-99 -99 -97 -90 -89 -89 -88 -84 -81 -80 -76 -76 -71 -71 -69 -68 -66 -66 -65 -65 -64 -61 -60 -59 -58 -58 -52 -48 -48 -47 -46 -46 -45 -44 -44 -43 -42 -41 -40 -38 -35 -32 -31 -31 -28 -25 -22 -22 -17 -17 -16 -9 -6 -3 0 0 1 1 8 17 19 20 25 33 35 40 41 43 44 45 50 52 52 52 53 55 56 58 59 60 62 62 70 71 74 74 75 76 78 78 79 80 85 88 93 94 94 94 98 100 

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 

