Size,Time,Memory
0,0.000297,0
1000,0.034731,3
2000,0.114258,15
3000,0.243423,34
4000,0.423855,61
5000,0.661233,95
6000,0.943199,137
7000,1.280731,187
8000,1.666131,244
9000,2.109487,309
10000,2.598861,381
11000,3.136387,462
12000,3.766679,549
13000,4.383810,645
14000,5.100993,748
15000,5.830992,858
16000,6.620426,977
17000,7.507349,1103
18000,8.412649,1236
19000,9.400044,1377
20000,10.357639,1526
21000,11.407013,1682
22000,12.524272,1847
23000,13.675067,2018
24000,14.912166,2198
25000,16.157781,2384
26000,17.455644,2579
27000,18.968393,2781
28000,20.273878,2991
29000,21.704714,3209
