N,Array,List1,List2
500,0.002580,0.005479,0.001643
1000,0.006967,0.013381,0.006760
1500,0.011689,0.025679,0.017436
2000,0.021248,0.045051,0.033285
2500,0.032684,0.068169,0.052730
3000,0.046228,0.096940,0.076492
3500,0.060553,0.125848,0.102779
4000,0.077843,0.162745,0.135002
4500,0.094073,0.198860,0.167371
5000,0.113567,0.239289,0.207664
5500,0.134067,0.284453,0.245312
6000,0.154658,0.330287,0.297752
6500,0.177235,0.384138,0.358007
7000,0.201813,0.441815,0.410790
7500,0.228504,0.545588,0.481085
8000,0.303887,0.559960,0.559453
8500,0.282929,0.635552,0.650536
9000,0.309826,0.697991,0.733699
9500,0.336913,0.771780,0.832096
10000,0.366462,0.848007,0.935767
10500,0.409716,0.929272,1.075911
11000,0.430945,1.003841,1.128637
11500,0.466184,1.089193,1.255160
12000,0.497129,1.174487,1.386837
12500,0.534262,1.290929,1.545298
13000,0.572428,1.419146,1.726544
13500,0.628040,1.534076,1.900516
14000,0.678500,1.618178,2.013022
14500,0.691830,1.738416,2.168563
15000,0.727714,1.844506,2.356230
