Size,Time,Memory
0,0.000266,0
1000,0.045844,3
2000,0.153936,15
3000,0.349250,34
4000,0.634854,61
5000,1.005004,95
6000,1.455477,137
7000,2.020115,187
8000,2.703983,244
9000,3.435653,309
10000,4.295775,381
11000,5.267182,462
12000,6.424988,549
13000,7.751622,645
14000,9.472783,748
15000,11.116681,858
16000,13.127440,977
17000,15.423816,1103
18000,17.895585,1236
19000,20.454683,1377
20000,23.479606,1526
21000,26.154668,1682
22000,28.684384,1847
23000,31.528035,2018
24000,34.844488,2198
25000,38.271401,2384
26000,41.815928,2579
27000,45.475965,2781
28000,49.867786,2991
29000,54.363822,3209
